Model,Pathway,Embedding,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_14,52,-0.17964691549401643,0.20253653439796737,-0.19969264919320412,0.1557998560525171
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_15,52,0.2780424735703862,0.04595584857541094,0.320925467429352,0.020357090741292154
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_16,52,0.1493284613139703,0.2907012211487873,0.14547938188337745,0.303455113562715
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_17,52,0.09528297583609545,0.5016321079655619,0.013147784512934345,0.9262934603352633
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_18,52,0.48925478302664344,0.00023260968410648044,0.5211303679672159,7.46097627194892e-05
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_19,52,-0.09192908144899486,0.5168749856391798,0.03688209681550414,0.795184964601656
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_20,52,0.14929415314417166,0.2908133329782282,0.28071373687355927,0.043823085039067705
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_21,52,-0.07827973992093565,0.5812164066555952,0.021941432596260566,0.8772989148761359
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_22,52,-0.007317471519037089,0.9589390711114554,0.04652949713992999,0.7432518754998726
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_23,52,0.19604758539310602,0.16364634949440005,0.18850849483479892,0.18078428095680668
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_24,52,0.06698846619391063,0.6370348644651505,0.12106206778792794,0.39259538949619033
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_25,52,0.053161502528712164,0.7081818896398582,0.11525655254845042,0.4158514310069412
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_26,52,0.012640808346890478,0.9291281658187336,-0.06249466404849313,0.6598421545696151
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_27,52,-0.11744368222199857,0.40699900651201204,-0.17297020404678562,0.2201034209098097
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_28,52,-0.025009252922864385,0.8603035679094213,-0.050712883121318185,0.721064875462705
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_29,52,0.00016652785434247142,0.9990651530274539,-0.05335951506872705,0.7071435547208487
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_30,52,-0.15358043675176783,0.27702481727849354,-0.13514897976607188,0.3394388840430278
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_31,52,-0.05041127463221307,0.7226571439016198,-0.06343379151370272,0.6550495308483076
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_0,52,0.11620235618683795,0.41200983403348745,0.10373089729360539,0.46428559269189573
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_1,52,0.10411230504284669,0.46263566489593044,0.19115512678220778,0.17462669996295715
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_2,52,0.08346658381304185,0.5563424509025084,0.24767352514300348,0.07668065712614729
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_3,52,0.133703935447476,0.3446756395201407,0.025868692905318878,0.8555532652010012
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_4,52,-0.040090803032342796,0.7778019464904444,-0.0036711346367284212,0.9793933580367848
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_5,52,0.12033328374132779,0.39547207947197444,0.10005976265687697,0.48032776064942573
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_6,52,0.016707829372522395,0.9064153370690953,0.06795867839153077,0.6321533054099562
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_7,52,-0.28643388648323775,0.039528020107586485,-0.2544181678476906,0.06874132461215163
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_8,52,0.22671359088663712,0.10604328557251896,0.3738581063775292,0.0063302181143177075
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_9,52,-0.12362558772430784,0.3825747207517354,-0.14778451293434644,0.29577443761573746
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_10,52,-0.16542802874412182,0.24119061152654042,-0.10868266029198326,0.4431134760535652
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_11,52,-0.043718315756551024,0.7582795448079289,0.011696405703064969,0.9344109960036215
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_12,52,0.14958314899881278,0.28986983728735666,0.11636643046187996,0.41134549267859444
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_13,52,0.20708310941006183,0.14074644279010728,0.1832152309399812,0.1935653270001647
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_14,52,0.04094678907979785,0.7731824625608883,0.01144028003073508,0.9358442125524046
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_15,52,0.12323009605275277,0.38411067953702194,0.20003415008964395,0.15507916637493493
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_16,52,0.022748141356695197,0.8728242086451827,0.02390506275078972,0.8664138341329425
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_17,52,0.12035616043701589,0.3953815922033346,-0.009476649876205924,0.9468385728166144
