,,count,count,count
cohort,,0,1,2
protein,missing_status,,,
588,1,0,1,0
589,0,31,17,13
589,1,15,3,2
590,0,27,12,9
590,1,19,8,6
591,0,37,17,11
591,1,9,3,4
592,0,46,20,15
592,1,0,0,0
593,0,46,20,15
593,1,0,0,0
594,0,46,20,15
594,1,0,0,0
595,0,46,20,15
595,1,0,0,0
596,0,46,20,15
596,1,0,0,0
597,0,46,19,15
597,1,0,1,0
598,0,46,20,15
598,1,0,0,0
599,0,45,19,15
599,1,1,1,0
600,0,46,20,15
600,1,0,0,0
601,0,45,18,14
601,1,1,2,1
602,0,41,20,14
602,1,5,0,1
603,0,45,20,15
603,1,1,0,0
604,0,46,20,15
604,1,0,0,0
605,0,46,20,15
605,1,0,0,0
606,0,46,20,15
606,1,0,0,0
607,0,46,20,15
607,1,0,0,0
608,0,40,20,14
608,1,6,0,1
609,0,26,18,7
609,1,20,2,8
610,0,44,19,14
610,1,2,1,1
611,0,46,20,15
611,1,0,0,0
612,0,43,20,9
612,1,3,0,6
613,0,34,18,7
613,1,12,2,8
614,0,46,20,15
614,1,0,0,0
615,0,45,20,14
615,1,1,0,1
616,0,30,12,9
616,1,16,8,6
617,0,46,20,15
617,1,0,0,0
618,0,46,20,15
618,1,0,0,0
619,0,42,19,15
619,1,4,1,0
620,0,46,20,15
620,1,0,0,0
621,0,46,20,15
621,1,0,0,0
622,0,45,20,14
622,1,1,0,1
623,0,46,20,15
623,1,0,0,0
624,0,46,19,15
624,1,0,1,0
625,0,46,20,15
625,1,0,0,0
626,0,46,20,15
626,1,0,0,0
627,0,46,20,15
627,1,0,0,0
628,0,46,20,15
628,1,0,0,0
629,0,46,20,15
629,1,0,0,0
630,0,46,20,15
630,1,0,0,0
631,0,46,20,15
631,1,0,0,0
632,0,45,20,15
632,1,1,0,0
633,0,46,20,15
633,1,0,0,0
634,0,46,19,12
634,1,0,1,3
635,0,41,19,13
635,1,5,1,2
636,0,46,20,15
636,1,0,0,0
637,0,46,20,15
637,1,0,0,0
638,0,43,20,12
638,1,3,0,3
639,0,46,20,15
639,1,0,0,0
640,0,46,20,15
640,1,0,0,0
641,0,26,16,7
641,1,20,4,8
642,0,41,19,14
642,1,5,1,1
643,0,41,18,12
643,1,5,2,3
644,0,44,17,13
644,1,2,3,2
645,0,46,19,15
645,1,0,1,0
646,0,46,20,15
646,1,0,0,0
647,0,34,15,12
647,1,12,5,3
648,0,46,20,15
648,1,0,0,0
649,0,46,20,15
649,1,0,0,0
650,0,30,17,7
650,1,16,3,8
651,0,30,16,9
651,1,16,4,6
652,0,28,13,10
652,1,18,7,5
653,0,46,20,15
653,1,0,0,0
654,0,34,18,9
654,1,12,2,6
655,0,46,20,15
655,1,0,0,0
656,0,46,20,15
656,1,0,0,0
657,0,46,20,15
657,1,0,0,0
658,0,25,17,7
658,1,21,3,8
659,0,40,20,10
659,1,6,0,5
660,0,44,19,15
660,1,2,1,0
661,0,43,20,13
661,1,3,0,2
662,0,46,20,15
662,1,0,0,0
663,0,46,20,15
663,1,0,0,0
664,0,45,20,15
664,1,1,0,0
665,0,45,20,14
665,1,1,0,1
666,0,46,20,15
666,1,0,0,0
667,0,43,20,14
667,1,3,0,1
668,0,30,18,6
668,1,16,2,9
669,0,42,19,13
669,1,4,1,2
670,0,40,18,14
670,1,6,2,1
671,0,46,20,15
671,1,0,0,0
672,0,44,20,11
672,1,2,0,4
673,0,45,20,15
673,1,1,0,0
674,0,38,19,11
674,1,8,1,4
675,0,39,18,10
675,1,7,2,5
676,0,46,20,15
676,1,0,0,0
677,0,34,17,8
677,1,12,3,7
678,0,46,20,15
678,1,0,0,0
679,0,46,20,15
679,1,0,0,0
680,0,46,20,15
680,1,0,0,0
681,0,46,20,15
681,1,0,0,0
682,0,41,18,11
682,1,5,2,4
683,0,32,18,10
683,1,14,2,5
684,0,45,20,15
684,1,1,0,0
685,0,45,20,15
685,1,1,0,0
686,0,38,17,10
686,1,8,3,5
687,0,46,20,15
687,1,0,0,0
688,0,46,20,15
688,1,0,0,0
689,0,46,20,15
689,1,0,0,0
690,0,46,20,15
690,1,0,0,0
691,0,46,20,15
691,1,0,0,0
