protein,missingness_percentage
FCGR3A,18.823529411764707
APOC4,0.0
DSG2,0.0
GP1BB,0.0
SERPINA10,0.0
MAN1A1,1.1764705882352942
RAB37,17.647058823529413
EIF1AX,3.5294117647058822
ARPC3,4.705882352941177
TPP1,22.35294117647059
APCS,0.0
GLRX3,2.3529411764705883
ANXA2,2.3529411764705883
GPNMB,0.0
SAA4,0.0
C8B,0.0
ITGB1,0.0
RAP1A,0.0
GRN,16.470588235294116
ACTBL2,0.0
CADM1,1.1764705882352942
CD5L,0.0
F13B,0.0
F12,0.0
CLEC3B,1.1764705882352942
CFHR4,0.0
FBLN5,0.0
SELENOP,0.0
CALR,0.0
CFHR2,2.3529411764705883
KLKB1,0.0
ADGRG6,7.0588235294117645
C1R,0.0
TXN,0.0
SRGN,0.0
APOD,0.0
PCYOX1,0.0
FGFR1,0.0
C1S,0.0
ICAM3,4.705882352941177
IGFBP4,1.1764705882352942
PROC,0.0
ADGRF5,0.0
CFP,11.76470588235294
ACAN,1.1764705882352942
ADAMTSL2,0.0
JCHAIN,0.0
CDHR5,5.88235294117647
TGM3,5.88235294117647
SKAP2,2.3529411764705883
VCAM1,0.0
SPP2,0.0
APOF,0.0
BTD,0.0
PDIA3,0.0
TMED8,7.0588235294117645
ROCK2,3.5294117647058822
DCD,0.0
ARF4,0.0
ARF1,0.0
H4C1,0.0
FLT4,0.0
TPI1,2.3529411764705883
RELN,0.0
DKK3,0.0
TAGLN2,0.0
F9,0.0
JAM3,11.76470588235294
IGHV3-15,0.0
CRTAC1,0.0
OGN,0.0
SERPINF2,0.0
PPIB,0.0
PDLIM7,2.3529411764705883
PDIA4,0.0
PGRMC2,23.52941176470588
PGRMC1,3.5294117647058822
PRDX6,0.0
IGF2R,5.88235294117647
ERP29,12.941176470588237
NRP2,0.0
TJP2,8.235294117647058
CHL1,1.1764705882352942
VIM,1.1764705882352942
NEO1,0.0
SOD1,22.35294117647059
LMAN2,1.1764705882352942
P4HB,0.0
TRIM58,17.647058823529413
ATP6AP2,7.0588235294117645
DYNLL1,10.588235294117647
COL6A2,17.647058823529413
EHD1,2.3529411764705883
HSP90B1,0.0
COL12A1,1.1764705882352942
ACTR3,2.3529411764705883
ARG1,3.5294117647058822
ORM2,0.0
ACTR2,1.1764705882352942
VSIG4,5.88235294117647
TMED9,12.941176470588237
UBE2N,14.117647058823529
LDHA,1.1764705882352942
ERP44,1.1764705882352942
PRG3,4.705882352941177
MLEC,2.3529411764705883
IL1RAP,8.235294117647058
MYLK,1.1764705882352942
B3GNT2,2.3529411764705883
CD226,11.76470588235294
SDF4,8.235294117647058
PRKCB,9.411764705882353
FBLN1,0.0
ANGPTL3,0.0
TMED10,4.705882352941177
HPRT1,17.647058823529413
BGN,2.3529411764705883
S100A9,0.0
SEC22B,5.88235294117647
FYB1,3.5294117647058822
GOLM1,0.0
PITHD1,5.88235294117647
NOTCH1,2.3529411764705883
PDCD6IP,12.941176470588237
RAB32,4.705882352941177
DCTN2,0.0
RBP4,0.0
SAA2,0.0
CASP14,3.5294117647058822
MINPP1,10.588235294117647
PLXNB1,0.0
TIMD4,11.76470588235294
FCN1,11.76470588235294
VBP1,22.35294117647059
C1QA,3.5294117647058822
SERPIND1,0.0
ENDOD1,3.5294117647058822
NME1,2.3529411764705883
NME2,17.647058823529413
HGFAC,0.0
DNASE1,12.941176470588237
COPE,12.941176470588237
CRKL,10.588235294117647
CD55,2.3529411764705883
RAP1B,0.0
RAB2A,18.823529411764707
DOK3,15.294117647058824
CDH5,0.0
GNAQ,1.1764705882352942
MAVS,12.941176470588237
POF1B,18.823529411764707
DOK2,10.588235294117647
IGHV1-3,12.941176470588237
SSBP1,14.117647058823529
KRT77,0.0
CCT5,15.294117647058824
SUSD1,12.941176470588237
COL1A1,0.0
B2M,1.1764705882352942
TUBA1A,3.5294117647058822
GGH,8.235294117647058
FGL1,0.0
PRDX4,2.3529411764705883
NOTCH3,1.1764705882352942
CBLN1,5.88235294117647
RARRES2,20.0
CALD1,2.3529411764705883
NEXN,1.1764705882352942
MMRN2,2.3529411764705883
SFTPB,17.647058823529413
VAPA,12.941176470588237
VAPB,7.0588235294117645
SLC9A3R1,10.588235294117647
CPN1,0.0
CCT2,15.294117647058824
CHGA,0.0
ADAMDEC1,3.5294117647058822
LUM,0.0
EIF5A,0.0
PLEK,0.0
COX5B,3.5294117647058822
GSTO1,2.3529411764705883
PIK3IP1,0.0
RAP1GAP2,9.411764705882353
EIF4A1,1.1764705882352942
SERPINA6,0.0
MFAP2,17.647058823529413
PPBP,0.0
MCAM,1.1764705882352942
RAB1A,0.0
ATP2A3,4.705882352941177
APOC1,0.0
GCLM,20.0
UGP2,11.76470588235294
CTSA,15.294117647058824
HBB,0.0
SEZ6L2,1.1764705882352942
SDC1,0.0
CD47,0.0
PSMB9,0.0
RPS27A,0.0
TSPAN9,8.235294117647058
FAP,9.411764705882353
MYL1,0.0
EEF1A1,0.0
ELOC,3.5294117647058822
MFAP5,8.235294117647058
SAR1A,1.1764705882352942
LRBA,15.294117647058824
SPTBN1,3.5294117647058822
PSAP,10.588235294117647
OMD,0.0
PLXDC1,1.1764705882352942
GBP1,1.1764705882352942
ATP5ME,24.705882352941178
MOB1A,18.823529411764707
