protein,missingness_percentage
C12orf4,29.545454545454547
C12orf57,11.363636363636363
C15orf40,22.727272727272727
C16orf87,75.0
C17orf58,68.18181818181817
C17orf75,70.45454545454545
C17orf78,90.9090909090909
C17orf80,68.18181818181817
C18orf25,88.63636363636364
C18orf32,38.63636363636363
C19orf12,13.636363636363635
C19orf25,20.454545454545457
C19orf47,81.81818181818183
C19orf53,90.9090909090909
C1D,65.9090909090909
C1GALT1,52.27272727272727
C1GALT1C1,45.45454545454545
C1QA,0.0
C1QB,0.0
C1QBP,0.0
C1QC,0.0
C1QTNF2,84.0909090909091
C1QTNF3,27.27272727272727
C1QTNF5,9.090909090909092
C1QTNF6,93.18181818181817
C1QTNF7,61.36363636363637
C1R,0.0
C1RL,0.0
C1S,0.0
C1orf122,47.72727272727273
C1orf131,100.0
C1orf174,88.63636363636364
C1orf198,2.272727272727273
C1orf50,20.454545454545457
C1orf52,95.45454545454545
C2,0.0
C20orf27,0.0
C2CD2,20.454545454545457
C2CD2L,31.818181818181817
C2CD5,4.545454545454546
C2orf49,63.63636363636363
C2orf69,38.63636363636363
C2orf76,50.0
C2orf88,43.18181818181818
C3,0.0
C3AR1,20.454545454545457
C3orf38,50.0
C4A,0.0
C4B,0.0
C4BPA,0.0
C4BPB,0.0
C4orf3,52.27272727272727
C5;cRAP-C5,0.0
C5AR1,4.545454545454546
C5orf22,65.9090909090909
C5orf24,90.9090909090909
C6,0.0
C6orf120,45.45454545454545
C6orf47,22.727272727272727
C7,0.0
C7orf25,22.727272727272727
C7orf50,36.36363636363637
C8A,0.0
C8B,0.0
C8G,0.0
C8orf33,56.81818181818182
C8orf82,11.363636363636363
C9,0.0
C9orf40,0.0
C9orf64,0.0
C9orf72,77.27272727272727
C9orf78,70.45454545454545
CA12,36.36363636363637
CA13,38.63636363636363
CA1;cRAP-CA1,0.0
CA2;cRAP-CA2,0.0
CA3,0.0
CA4,25.0
CA5B,22.727272727272727
CA6,90.9090909090909
CA9,97.72727272727273
CAAP1,90.9090909090909
CAB39,0.0
CAB39L,2.272727272727273
CABS1,100.0
CACHD1,70.45454545454545
CACNA2D1,0.0
CACNA2D2,65.9090909090909
CACNB1,86.36363636363636
CACNB3,65.9090909090909
CACTIN,86.36363636363636
CACUL1,84.0909090909091
CACYBP,0.0
CAD,0.0
CADM1,13.636363636363635
CADM2,75.0
CADM3,13.636363636363635
CADM4,47.72727272727273
CADPS,38.63636363636363
CADPS2,31.818181818181817
CALB2,22.727272727272727
CALCB,88.63636363636364
CALCOCO1,9.090909090909092
CALCOCO2,34.090909090909086
CALCRL,29.545454545454547
CALD1,0.0
CALHM2,13.636363636363635
CALHM5,11.363636363636363
CALHM6,84.0909090909091
CALM1;CALM2;CALM3,0.0
CALML3,0.0
CALML5,22.727272727272727
CALR,0.0
CALU,0.0
CAMK1,2.272727272727273
CAMK1D,15.909090909090908
CAMK2A,95.45454545454545
CAMK2B,84.0909090909091
CAMK2D,0.0
CAMK2G,4.545454545454546
CAMK4,93.18181818181817
CAMKK1,88.63636363636364
CAMKK2,22.727272727272727
CAMLG,52.27272727272727
CAMP,0.0
CAMSAP1,40.909090909090914
CAMSAP2,43.18181818181818
CAMSAP3,90.9090909090909
CAND1,0.0
CAND2,27.27272727272727
CANT1,36.36363636363637
CANX,0.0
CAP1,0.0
CAP2,2.272727272727273
CAPG,0.0
CAPN1,0.0
CAPN2,0.0
CAPN5,4.545454545454546
CAPN6,90.9090909090909
CAPN7,2.272727272727273
CAPNS1,0.0
CAPRIN1,0.0
CAPRIN2,97.72727272727273
CAPS,77.27272727272727
CAPZA1,0.0
CAPZA2,0.0
CAPZB,0.0
CARD11,59.09090909090909
CARD16,4.545454545454546
CARD18,88.63636363636364
CARD19,13.636363636363635
CARD6,84.0909090909091
CARD8,34.090909090909086
CARD9,29.545454545454547
CARHSP1,0.0
CARM1,0.0
CARMIL1,15.909090909090908
